Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率
Chris Johnson,UTA,25,29,9,20,18.2,5.7,5.3,40.3,3.3,29.5,0.6,87.5,0.3,1.6,1.9,0.5,0.5,0.9,0.2,1.5,11.7,0,0,-1.1,2015,0,False,0.31
Kirk Hinrich,CHI,34,66,37,29,24.4,5.7,5.8,37.3,2.5,34.5,0.8,70.0,0.3,1.5,1.8,2.2,1.1,0.7,0.2,2.2,12.9,0,0,0.6,2015,0,False,0.56
Thomas Robinson,PHI,24,54,26,28,14.8,5.7,4.8,48.5,0.0,0.0,2.0,52.8,1.8,3.9,5.6,0.6,1.1,0.6,0.4,1.9,15.2,4,0,0.2,2015,0,False,0.48
Nate Robinson,DEN,31,42,22,20,14.1,5.7,6.1,34.5,2.7,27.7,1.1,67.4,0.4,0.8,1.2,2.3,0.7,0.5,0.1,1.8,11.5,0,0,-3.0,2015,0,False,0.52
Pero Antic,ATL,32,63,46,17,16.5,5.7,4.7,36.5,2.7,30.1,2.0,71.5,0.9,2.1,3.0,0.8,0.8,0.3,0.2,2.1,11.2,0,0,2.4,2015,0,False,0.73
PJ Hairston,CHA,22,45,19,26,15.3,5.6,6.0,32.3,3.6,30.1,0.8,86.1,0.5,1.6,2.0,0.5,0.5,0.5,0.3,1.4,10.6,1,0,-2.3,2015,0,False,0.42
Archie Goodwin,PHX,20,41,16,25,13.0,5.6,4.9,39.3,1.0,29.3,2.0,73.5,0.7,1.1,1.8,1.1,1.2,0.4,0.2,1.3,10.2,0,0,-4.0,2015,0,False,0.39
John Jenkins,ATL,24,24,13,11,12.4,5.6,4.1,49.5,2.2,40.4,0.8,84.2,0.1,1.5,1.6,0.5,0.3,0.4,0.0,0.6,9.3,0,0,-1.0,2015,0,False,0.54
Al-Farouq Aminu,DAL,24,74,45,29,18.5,5.6,4.8,41.2,1.7,27.4,1.6,71.2,1.5,3.1,4.6,0.8,0.7,0.9,0.8,1.9,16.9,4,0,1.4,2015,0,False,0.61
Cole Aldrich,NYK,26,61,11,50,16.0,5.5,4.9,47.8,0.0,0.0,1.0,78.1,1.7,3.9,5.5,1.2,1.0,0.6,1.1,2.0,18.1,6,0,-4.5,2015,0,False,0.18
Sean Kilpatrick,MIN,25,4,2,2,17.9,5.5,5.0,35.0,3.3,30.8,1.0,100.0,0.3,1.3,1.5,1.0,0.5,0.8,0.0,0.8,10.6,0,0,4.3,2015,0,False,0.5
Shelvin Mack,ATL,25,55,37,18,15.1,5.4,5.3,40.1,2.3,31.5,0.6,80.6,0.1,1.3,1.4,2.8,0.9,0.5,0.0,0.6,12.2,1,0,0.8,2015,0,False,0.67
Drew Gooden,WAS,33,51,31,20,16.9,5.4,5.4,39.9,1.2,39.0,0.9,77.3,1.4,3.0,4.4,1.0,0.5,0.4,0.2,1.8,13.3,2,0,0.0,2015,0,False,0.61
Shawne Williams,DET,29,63,26,37,17.2,5.4,4.8,40.3,2.8,36.0,0.6,87.5,0.6,2.1,2.6,0.7,0.5,0.4,0.3,2.1,11.3,1,0,-1.6,2015,0,False,0.41
Cleanthony Early,NYK,24,39,6,33,16.6,5.4,5.5,35.5,2.2,26.2,1.2,75.0,0.6,1.9,2.5,0.9,1.0,0.6,0.3,1.5,11.5,0,0,-4.2,2015,0,False,0.15
Thabo Sefolosha,ATL,31,52,43,9,18.8,5.3,4.8,41.8,1.5,32.1,1.1,77.6,1.0,3.3,4.3,1.4,0.7,1.0,0.4,1.3,16.2,1,0,3.3,2015,0,False,0.83
Justin Hamilton,MIN,25,41,6,35,17.4,5.3,4.3,47.8,0.8,32.3,1.1,83.0,1.4,1.9,3.3,0.9,0.6,0.7,0.7,1.7,14.1,2,0,-4.3,2015,0,False,0.15
Bryce Cotton,UTA,22,15,9,6,10.6,5.3,4.6,42.0,1.3,35.0,1.2,83.3,0.2,1.0,1.2,1.0,0.8,0.3,0.0,0.4,8.3,0,0,0.0,2015,0,False,0.6
Chris Andersen,MIA,36,60,27,33,18.9,5.3,3.5,58.0,0.2,30.8,1.9,66.7,1.3,3.7,5.0,0.7,0.7,0.4,1.0,1.5,16.1,1,0,0.0,2015,0,False,0.45
Ricky Ledo,NYK,22,17,4,13,14.4,5.3,5.6,33.3,1.6,37.0,1.3,72.7,0.9,1.2,2.1,1.1,1.5,0.4,0.1,1.2,9.2,0,0,-3.1,2015,0,False,0.24
Elijah Millsap,UTA,27,47,25,22,19.7,5.3,5.1,34.0,1.9,31.1,1.8,67.4,0.6,2.6,3.2,1.2,1.4,1.2,0.3,2.6,14.1,0,0,1.2,2015,0,False,0.53
Brandon Davies,PHI,23,27,6,21,15.7,5.3,5.1,40.1,1.3,23.5,1.4,64.9,1.4,1.7,3.1,1.1,1.1,0.7,0.3,2.2,12.3,0,0,-6.0,2015,0,False,0.22
Anthony Bennett,MIN,22,57,12,45,15.7,5.2,5.2,42.1,0.4,30.4,1.1,64.1,0.9,2.9,3.8,0.8,0.6,0.5,0.3,1.5,12.7,2,0,-5.2,2015,0,False,0.21
JaKarr Sampson,PHI,22,74,17,57,15.3,5.2,4.7,42.2,1.7,24.4,1.3,67.0,0.5,1.7,2.2,1.0,1.0,0.5,0.4,1.8,11.0,0,0,-4.5,2015,0,False,0.23
Kent Bazemore,ATL,25,75,53,22,17.6,5.2,4.4,42.6,1.8,36.4,1.3,60.0,0.3,2.7,3.0,1.0,1.0,0.7,0.4,1.7,12.7,0,0,-1.3,2015,0,False,0.71
