年月,港口別,總計,進口貨,出口貨,國內貨
200510,花蓮港,1544311,72741,224776,1246794
200510,臺北港,878446,400373,27,478046
200510,蘇澳港,556348,279250,148969,128129
200510,安平港,111854,53081,4423,54350
200511,國際商港,21252637,12262686,3948355,5041596
200511,高雄港,10194816,6354823,2573382,1266611
200511,臺中港,4558415,3532190,460091,566134
200511,基隆港,3177044,1635725,658295,883024
200511,花蓮港,1710892,70695,107891,1532306
200511,臺北港,999824,424494,258,575072
200511,蘇澳港,474993,207457,145438,122098
200511,安平港,136653,37302,3000,96351
200512,國際商港,21169141,12317337,3885392,4966412
200512,高雄港,11013291,7110950,2557993,1344348
200512,臺中港,3869933,2854508,446845,568580
200512,基隆港,2966252,1445767,616455,904030
200512,花蓮港,1751618,100558,153700,1497360
200512,臺北港,971206,489455,264,481487
200512,蘇澳港,488378,295729,106948,85701
200512,安平港,108463,20370,3187,84906
200601,國際商港,19640822,11386639,3383316,4870867
200601,高雄港,9621814,6200862,2174748,1246204
200601,臺中港,3571657,2582071,454174,535412
200601,基隆港,3098089,1645804,550331,901954
200601,花蓮港,1602684,27565,82065,1493054
200601,臺北港,1057093,533664,0,523429
200601,蘇澳港,485786,265898,117160,102728
200601,安平港,203699,130775,4838,68086
200602,國際商港,19943594,11920246,3703647,4319701
200602,高雄港,10713940,7068372,2382970,1262598
200602,臺中港,3736392,2817296,423375,495721
200602,基隆港,2547537,1280292,553172,714073
200602,花蓮港,1515877,146379,157390,1212108
200602,臺北港,761583,320394,0,441189
200602,蘇澳港,444878,134498,183710,126670
200602,安平港,223387,153015,3030,67342
200603,國際商港,22606613,13728398,3807411,5070804
200603,高雄港,10952636,7009043,2452618,1490975
200603,臺中港,5040489,4088815,468499,483175
200603,基隆港,2915391,1511316,628084,775991
200603,花蓮港,1656748,42734,70886,1543128
200603,臺北港,1111713,557631,127,553955
200603,蘇澳港,743700,412831,184150,146719
200603,安平港,185936,106028,3047,76861
200604,國際商港,22111708,13486095,4092869,4532744
200604,高雄港,11318481,7200842,2679626,1438013
200604,臺中港,4509376,3555293,466592,487491
200604,基隆港,3085184,1771639,628357,685188
200604,花蓮港,1462063,58777,168698,1234588
200604,臺北港,1021763,534781,80,486902
200604,蘇澳港,471943,196900,145530,129513
200604,安平港,242898,167863,3986,71049
200605,國際商港,24388210,15402979,4290486,4694745
200605,高雄港,12905705,8509127,2912728,1483850
200605,臺中港,4945671,4078032,465288,402351
200605,基隆港,3066547,1688545,660728,717274
200605,花蓮港,1534531,64391,143141,1326999
200605,臺北港,1221844,665140,776,555928
200605,蘇澳港,476525,232478,107729,136318
200605,安平港,237387,165266,96,72025
200606,國際商港,22191611,14098149,3995177,4098285
200606,高雄港,11352290,7532167,2582862,1237261
200606,臺中港,4766075,3988565,469166,308344
200606,基隆港,2863020,1589067,601349,672604
200606,花蓮港,1496093,68987,180524,1246582
200606,臺北港,1061702,527116,1696,532890
200606,蘇澳港,379189,166802,159580,52807
200606,安平港,273242,225445,0,47797
200607,國際商港,21930859,13480345,4483552,3966962
200607,高雄港,11651815,7626992,2965048,1059775
200607,臺中港,3677205,2826940,460623,389642
200607,基隆港,3081117,1803528,612556,665033
200607,花蓮港,1535975,151521,242068,1142386
200607,臺北港,1226830,701504,1478,523848
200607,蘇澳港,518442,186082,199305,133055
200607,安平港,239475,183778,2474,53223
200608,國際商港,24458279,15718230,4142938,4597111
200608,高雄港,12862330,8716578,2719816,1425936
200608,臺中港,5274000,4337035,509664,427301
200608,基隆港,2924261,1573319,616739,734203
200608,花蓮港,1518045,71370,180428,1266247
200608,臺北港,1113287,565571,1165,546551
200608,蘇澳港,570140,316048,112010,142082
200608,安平港,196216,138309,3116,54791
200609,國際商港,23037508,14713709,3995228,4328571
200609,高雄港,12026854,8084289,2668649,1273916
200609,臺中港,3881982,3132676,387616,361690
200609,基隆港,2853759,1551537,590820,711402
200609,花蓮港,1725305,317237,208318,1199750
200609,臺北港,1152483,587906,3496,561081
200609,安平港,792978,733918,3028,56032
200609,蘇澳港,604147,306146,133301,164700
200610,國際商港,21582702,13081731,3867624,4633347
200610,高雄港,10919483,6970098,2576554,1372831
200610,臺中港,4384485,3490675,431932,461878
200610,基隆港,2870280,1613299,586760,670221
200610,花蓮港,1578896,41209,210476,1327211
200610,臺北港,1183429,629273,1957,552199
200610,蘇澳港,437781,220346,56200,161235
200610,安平港,208348,116831,3745,87772
200611,國際商港,22008865,13901195,3822900,4284770
200611,高雄港,10356898,6634151,2511195,1211552
200611,臺中港,5318848,4499402,491373,328073
200611,基隆港,3051468,1698946,614028,738494
200611,花蓮港,1510358,81250,190028,1239080
200611,臺北港,1152105,599842,1346,550917
200611,蘇澳港,382170,209937,13600,158633
200611,安平港,237018,177667,1330,58021
200612,國際商港,20303182,12131298,3972487,4199397
200612,高雄港,10399767,6441602,2564381,1393784
200612,臺中港,4295334,3339864,445113,510357
200612,基隆港,2550654,1324821,621942,603891
200612,花蓮港,1224065,40802,147385,1035878
200612,臺北港,912793,399297,834,512662
200612,蘇澳港,668796,403644,190048,75104
200612,安平港,251773,181268,2784,67721
200701,國際商港,25614886,16979298,4223074,4412514
200701,高雄港,13569378,9627259,2705212,1236907
